name,FROM,LABEL,ENV,RUN,VOLUME,COPY,ENTRYPOINT,CMD,WORKDIR,USER,EXPOSE,MAINTAINER,ARG,STOPSIGNAL,ADD,SHELL,numberOfFeatures
docker-library_gcc.json,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9
docker-library_celery.json,1,0,2,4,0,0,0,1,1,1,0,0,0,0,0,0,10
Quantisan_docker-clojure.json,1,0,4,2,0,0,0,1,1,0,0,0,0,0,0,0,9
YOURLS_docker-yourls.json,1,0,2,4,0,3,1,1,0,0,0,0,0,0,0,0,12
odoo_docker.json,1,0,3,5,1,3,1,1,0,1,1,1,2,0,0,0,20
HaxeFoundation_docker-library-haxe.json,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,8
Lightstreamer_Docker.json,1,1,2,2,0,0,0,1,1,1,1,0,0,0,0,0,10
docker-library_wordpress.json,1,0,2,6,1,1,1,1,0,0,0,0,0,0,0,0,13
plone_plone.docker.json,1,1,1,2,1,2,1,1,1,0,1,0,0,0,0,0,12
docker-library_mysql.json,1,0,3,9,1,1,1,1,0,0,1,0,0,0,0,0,18
docker-library_mongo.json,1,0,6,8,1,1,1,1,0,0,1,0,2,0,0,0,22
