name,command,numeber_of_execution,buildable,Build_1,Build_2,Build_3,Build_4,Build_5,Build_6,Build_7,Build_8,Build_9,Build_10,average_time,σ_std_dev,variance,category,dockerfile_loc,from,label,env,run,volume,copy,entrypoint,cmd,workdir,user,expose,maintainer,arg,stopsignal,add,shell,total_instructions,from_cmds,label_cmds,env_cmds,run_cmds,volume_cmds,copy_cmds,entrypoint_cmds,cmd_cmds,workdir_cmds,user_cmds,expose_cmds,maintainer_cmds,arg_cmds,stopsignal_cmds,add_cmds,shell_cmds,C,Python,Shell,Cmake,Dockerfile,C++,Java,D,Pascal,Go,Other,PHP,JavaScript,CSS,Elixir,Erlang,Makefile,Batchfile,PowerShell,Vue,Ada,gcc,fortran,html,assembly,Perl,m4,Lua,HCL,Lisp,Tcl,Objective-c,Ruby,Gherkin,haxe,F#,C#,Ocalm,Haskell,Haxe,Hy,TSQL,Roff,EmberScript,Smarty,clojure,R,Groovy,Prolog
docker-library_postgres,docker build -t repositories/docker-library_postgres/12/alpine,10,true,963,922,918,920,926,960,933,908,931,931,"931,2","16,7140659326209","279,36",database,151,1,0,6,12,1,1,1,1,0,0,1,0,0,0,0,0,24,1,0,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"25,9",0,"28,4",0,0,0,0,"45,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_pypy,docker build -t docker-library_pypy docker-library_pypy3.6.,10,true,214,1160,304,203,198,213,201,215,228,221,315.7,"282,909897317149","80038,01",language,85,1,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0,6,43,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_redis,docker build -t docker-library_redis /repositories/docker-library_redis/6.0-rc/alpine,10,true,206,204,203,204,203,204,204,205,213,244,209,"11,991663771137","143,8",redis,81,1,0,3,4,1,1,1,1,1,0,1,0,0,0,0,0,14,1,0,3,44,1,1,1,1,1,0,1,0,0,0,0,0,"84,8",0,"0,4",0,0,0,0,0,0,0,"0,2",0,0,0,0,0,"0,3",0,0,0,0,0,0,0,0,0,0,0,0,0,"13,3","0,6","0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_ruby,docker build -t docker-library_ruby docker-library_ruby2.7alpine3.11.,10,true,537,524,739,440,441,536,443,504,500,489,515.3,"82,7575374210712","6848,81",language,128,1,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,9,0,3,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,"2,8","1,6",0,0,0,0,0,0,0,0,0,"33,9",0,0,0,0,0,0,0,0,"61,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_tomcat,docker build -t docker-library_tomcat docker-library_tomcat9.0jdk8corretto.,10,true,822,922,603,442,413,457,419,1337,484,1199,709.8,"325,727739070531","106098,56",web_component,146,1,0,8,3,0,0,0,1,1,0,1,0,0,0,0,0,15,1,0,3,44,1,1,1,1,1,0,1,0,0,0,0,0,0,0,"4,9",0,"95,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-library_wordpress,docker build -t docker-library_wordpress docker-library_wordpressphp7.3apache.,10,true,673,1130,1130,632,631,697,694,693,752,814,784.6,"180,037884902039","32413,64",application_platform,111,1,0,2,6,1,1,1,1,0,0,0,0,0,0,0,0,13,1,0,2,70,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"77,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker-solr_docker-solr,docker build -t docker-solr_docker-solr docker-solr_docker-solr8.1.,10,true,756,875,860,632,636,637,654,765,756,773,734.4,"86,6154720589803","7502,24",application_platform,140,1,2,5,4,1,1,1,1,1,1,1,0,5,0,0,0,24,1,0,7,78,0,0,0,1,0,0,0,0,0,0,0,0,"26,89","18,75","21,13","3,38","11,7",0,0,0,0,"18,15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docker_distribution-library-image,docker build -t docker_distribution-library-image distribution-library-imageamd64.,10,true,22,36,34,23,23,23,24,23,22,24,25.4,"4,86209831245729","23,64",other,17,1,0,0,1,1,3,1,1,0,0,1,0,0,0,0,0,9,1,0,8,97,0,0,0,2,1,0,1,0,0,0,0,0,0,0,"58,8",0,"41,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eclipse_mosquitto,docker build -t eclipse_mosquitto eclipse_mosquittodocker1.6.,10,true,234,277,324,210,202,205,204,236,234,241,236.7,"36,4281484569282","1327,01",web_component,92,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,9,2,0,4,17,0,3,1,1,1,1,0,1,0,0,0,0,"86,5",0,"0,6","5,9",0,0,0,0,0,0,"1,7",0,"3,5",0,0,0,1,0,0,0,0,0,0,"0,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erlang_docker-erlang-otp,docker build -t erlang_docker-erlang-otp erlang_docker-erlang-otp23.,10,true,1163,1230,1872,1144,1160,1124,1144,1172,1147,1168,1232.4,"214,853531504604","46162,04",language,68,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,8,1,1,3,54,0,0,0,1,0,0,0,0,0,0,0,0,"16,27",0,"0,1",0,"0,17","1,9","0,5",0,0,0,"2,2",0,0,0,0,"77,37","1,1",0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fluent_fluentd-docker-image,docker build -t fluent_fluentd-docker-image fluent_fluentd-docker-imagev1.10debian.,10,true,388,377,503,326,323,556,325,347,338,345,382.8,"77,0503731334249","5936,76",other,64,1,2,3,2,0,2,1,1,0,1,1,0,0,0,0,0,14,1,2,3,42,0,2,3,1,0,1,1,0,0,0,0,0,"87,97","2,59","1,7","0,02","0,69","3,93",0,0,0,0,"0,7",0,0,0,0,0,"0,18",0,0,0,0,0,0,"0,05","0,44","0,92","0,48",0,0,0,0,0,0,0,"0,35",0,0,0,0,0,0,0,0,0,0,0,0,0,0
friendica_docker,docker build -t friendica_docker friendica_docker2019.12apache.,10,true,769,756,763,778,835,766,769,770,773,779,825,"20,7499397589487","430,56",application_platform,128,1,0,3,6,1,2,1,1,0,0,0,0,0,0,0,0,15,1,2,3,42,0,2,3,1,0,1,1,0,0,0,0,0,"13,59","9,48","45,81","1,71","18,57",0,0,0,0,0,0,"10,85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsprojects_docker-fsharp,docker build -t fsprojects_docker-fsharp fsprojects_docker-fsharp10.7.0netcore.,10,true,799,1217,919,833,820,790,823,854,790,897,874.2,"121,465056703564","14753,76",language,41,1,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,9,1,0,3,82,1,2,1,1,0,0,0,0,0,0,0,0,0,0,"0,1",0,"0,05",0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,"98,85","0,5","0,2",0,0,0,0,0,0,0,0,0,0,0
geonetwork_docker-geonetwork,docker build -t geonetwork_docker-geonetwork geonetwork_docker-geonetwork3.8.3.,10,true,873,1181,872,435,445,480,509,523,513,606,643.7,"235,465942335617","55444,21",application_platform,24,1,0,5,1,0,1,1,1,1,0,0,0,0,0,0,0,11,1,1,4,33,0,0,0,2,1,0,0,0,0,0,0,0,0,0,"62,5",0,"37,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hashicorp_docker-vault,docker build -t hashicorp_docker-vault hashicorp_docker-vault0.X.,10,true,171,179,230,211,277,147,151,185,170,333,205.4,"56,5370674867383","3196,44",other,80,1,0,0,3,2,1,1,1,0,0,1,0,1,0,0,0,11,1,0,0,44,2,1,1,2,0,0,1,0,1,0,0,0,0,0,"52,9",0,"42,9",0,0,0,0,0,0,0,0,0,0,0,"4,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haskell_docker-haskell,docker build -t haskell_docker-haskell haskell_docker-haskell7.8. ,10,true,379,399,380,376,385,372,370,371,371,373,"377,6","8,48763806956918","72,04",language,41,1,0,1,3,0,0,0,1,0,0,0,0,3,0,0,0,9,1,0,0,44,2,2,1,2,0,0,1,0,1,0,0,0,0,0,"2,28",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"96,72",0,0,0,0,0,0,0,0,0,0
HaxeFoundation_docker-library-haxe,docker build -t HaxeFoundation_docker-library-haxe HaxeFoundation_docker-library-haxe4.0alpine3.11.,10,true,1140,1186,1244,1280,1231,1224,1211,1201,1191,1190,"1209,8","36,071595473447","1301,16",language,94,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,1,30,0,1,0,1,0,0,0,0,3,0,0,0,"65,61",0,0,"8,83","7,48","0,64",0,0,0,0,"0,18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,28",0,0,0,0,0,"16,29",0,"0,69",0,0,0,0,0,0,0,0,0
hylang_hy,docker build -t hylang_hy hylang_hy.,10,true,106,527,97,93,91,92,95,107,107,134,144.9,"127,940181334872","16368,69",language,10,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,5,1,3,1,62,0,0,0,1,0,0,0,0,0,0,0,0,0,"54,6",0,0,"0,2",0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,7",0,0,0,0,0,0,0,0
ibmruntimes_ci.docker,docker build -t ibmruntimes_ci.docker ibmruntimes_ci.dockeribmjava8maven,10,true,401,412,338,326,326,331,339,438,402,516,382.9,"59,5003361335043","3540,29",language,36,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,6,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,"49,9",0,50,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jenkinsci_docker,docker build -t jenkinsci_docker jenkinsci_docker.,10,true,944,996,1094,799,766,767,847,917,904,1139,917.3,"123,238021730309","15187,61",application_platform,84,1,0,8,6,1,6,1,0,0,1,2,0,12,0,0,0,38,1,0,8,25,1,6,3,0,0,1,2,0,12,0,0,0,"0,13",0.04,"8,36","0,01","0,23",0,0,0,0,"89,94","0,11",0,0,0,0,0,"0,33",0,"0,85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joomla_docker-joomla,docker build -t joomla_docker-joomla joomla_docker-joomlaphp7.4apache.,10,true,248,307,353,254,242,241,314,248,290,303,280.0,"36,7858668512786","1353,2",application_platform,85,1,1,3,3,1,2,1,1,0,0,0,0,0,0,0,0,13,1,1,3,51,1,2,1,1,0,0,0,0,0,0,0,0,0,0,"0,31",0,"0,17",0,0,0,0,0,0,"77,34","10,24","6,66",0,0,0,0,0,0,0,0,0,"0,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,17",0,0,0,0,0,0,0
juanluisbaptiste_docker-brew-mageia,docker build -t juanluisbaptiste_docker-brew-mageia juanluisbaptiste_docker-brew-mageiadist6armv7hl.,10,true,1119,1300,1053,1114,1616,1078,961,981,919,953,"1109,4","199,116649228536","39647,44",linux_distro,17,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,1,1,3,51,1,2,1,1,0,0,0,0,0,0,0,0,0,0,"10,77",0,"0,13",0,0,0,0,"46,67","0,57",0,0,0,0,0,"0,28","0,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,96","37,34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
