"OpenLiberty_ci.docker","docker build -t OpenLiberty_ci.docker \OpenLiberty_ci.docker\build\test-pet-clinic\.","1","false","0","0.0"
"orientechnologies_orientdb-docker","docker build -t orientechnologies_orientdb-docker \orientechnologies_orientdb-docker\3.0\arm64v8\openjdk-slim\.","1","true","467","467.0"
"osrf_docker_images","docker build -t osrf_docker_images \osrf_docker_images\docker\.","1","true","79","79.0"
"Perl_docker-perl","docker build -t Perl_docker-perl \Perl_docker-perl\5.030.002-slim-stretch\.","1","false","0","0.0"
"plone_plone.docker","docker build -t plone_plone.docker \plone_plone.docker\5.2\5.2.0\python2\.","1","true","1571","1571.0"
"postfixadmin_docker","docker build -t postfixadmin_docker \postfixadmin_docker\apache\.","1","true","110","110.0"
"Quantisan_docker-clojure","docker build -t Quantisan_docker-clojure \Quantisan_docker-clojure\target\openjdk-8-buster\boot\.","1","false","0","0.0"
"Raku_docker","docker build -t Raku_docker \Raku_docker\.","1","false","0","0.0"
"rapidoid_docker-rapidoid","docker build -t rapidoid_docker-rapidoid \rapidoid_docker-rapidoid\.","1","false","221","221.0"
"rethinkdb_rethinkdb-dockerfiles","docker build -t rethinkdb_rethinkdb-dockerfiles \rethinkdb_rethinkdb-dockerfiles\bionic\2.4.0\.","1","false","110","110.0"
"rocker-org_rocker","docker build -t rocker-org_rocker \rocker-org_rocker\r-ubuntu\.","1","true","643","643.0"
"RocketChat_Docker.Official.Image","docker build -t RocketChat_Docker.Official.Image \RocketChat_Docker.Official.Image\3\.","1","false","1","1.0"
"rust-lang_docker-rust","docker build -t rust-lang_docker-rust \rust-lang_docker-rust\1.42.0\alpine3.10\.","1","true","284","284.0"
"Silverpeas_docker-silverpeas-prod","docker build -t Silverpeas_docker-silverpeas-prod \Silverpeas_docker-silverpeas-prod\.","1","false","0","0.0"
"SonarSource_docker-sonarqube","docker build -t SonarSource_docker-sonarqube \SonarSource_docker-sonarqube\8\community\.","1","false","0","0.0"
"SWI-Prolog_docker-swipl","docker build -t SWI-Prolog_docker-swipl \SWI-Prolog_docker-swipl\8.1.15\stretch\.","1","false","0","0.0"
"TeamSpeak-Systems_teamspeak-linux-docker-images","docker build -t TeamSpeak-Systems_teamspeak-linux-docker-images \TeamSpeak-Systems_teamspeak-linux-docker-images\alpine\.","1","false","0","0.0"
"tianon_docker-bash","docker build -t tianon_docker-bash \tianon_docker-bash\5.0\.","1","false","329","329.0"
"TimWolla_docker-adminer","docker build -t TimWolla_docker-adminer \TimWolla_docker-adminer\4\.","1","false","0","0.0"
"TimWolla_docker-spiped","docker build -t TimWolla_docker-spiped \TimWolla_docker-spiped\1.6\.","1","false","0","0.0"
"tomitribe_docker-tomee","docker build -t tomitribe_docker-tomee \tomitribe_docker-tomee\TomEE-8.0\jre8\webprofile\.","1","true","253","253.0"
"varnish_docker-varnish","docker build -t varnish_docker-varnish \varnish_docker-varnish\stable\debian\.","1","false","97","97.0"
"WASdev_ci.docker","docker build -t WASdev_ci.docker \WASdev_ci.docker\test\test-pet-clinic\.","1","false","0","0.0"
"YOURLS_docker-yourls","docker build -t YOURLS_docker-yourls \YOURLS_docker-yourls\apache\.","1","false","0","0.0"
"znc_znc-docker","docker build -t znc_znc-docker \znc_znc-docker\full\.","1","true","366","366.0"
"covid19-italy","docker build -t covid19-italy \covid19-italy\.","1","true","616","616.0"
